District,Station,Latitude,Longitude
Central and Western,Hong Kong Station,22.2793278,114.1628131
Central and Western,Admiralty Station,22.2783805,114.1650126
Central and Western,Central Station,22.350627,114.1849161
Central and Western,Kennedy Town Station,22.2813627,114.1278323
Central and Western,HKU Station,22.2839758,114.1355067
Central and Western,Sai Ying Pun Station,22.286121,114.1420862
Central and Western,Sheung Wan Station,22.2858993,114.153707
Eastern,Tin Hau Station,22.2827094,114.1914917
Eastern,North Point Station,22.2916575,114.1995447
Eastern,Quarry Bay Station,22.2877545,114.2149322
Eastern,Fortress Hill Station,22.2882218,114.1936819
Eastern,Sai Wan Ho Station,22.28233,114.22245
Eastern,Shau Kei Wan Station,22.2790972,114.2286665
Eastern,Heng Fa Chuen Station,22.27785875,114.2402644692785
Eastern,Chai Wan Station,22.2648186,114.2371073
Eastern,Tai Koo Station,22.2845316,114.2163521
Islands,Airport Station,22.3160874,113.93647839996052
Islands,Tung Chung Station,22.2898911,113.9398742
Islands,AsiaWorld–Expo Station,22.3212507,113.94297095417554
Kowloon City,Whampoa Station,22.30506315,114.18947954774603
Kowloon City,Ho Man Tin Station,22.3090353,114.1816011
Kowloon City,Kai Tak Station,22.329761,114.2012354
Kwai Tsing,Kwai Fong Station,22.3564414,114.1280362
Kwai Tsing,Tsing Yi Station,22.3602059,114.1075872
Kwai Tsing,Lai King Station,22.3480777,114.1269139
Kwai Tsing,Kwai Hing Station,22.3629161,114.1314457
Kwai Tsing/Tsuen Wan,Tai Wo Hau Station,22.3705368,114.1240538
Kwun Tong,Lam Tin Station,22.3069503,114.233865
Kwun Tong,Yau Tong Station,22.2975047,114.2383245
Kwun Tong,Kwun Tong Station,22.3118485,114.2281688
Kwun Tong,Ngau Tau Kok Station,22.3152385,114.2194984
Kwun Tong,Kowloon Bay Station,22.3240787,114.2143898
North,Sheung Shui Station,22.5011948,114.12799943457145
North,Fanling Station,22.4918493,114.139366
North,Lo Wu Station,22.5292045,114.1142734
Sai Kung,Tiu Keng Leng Station,22.3054072,114.2528366
Sai Kung,Tseung Kwan O Station,22.3084947,114.260505
Sai Kung,LOHAS Park Station,22.295609,114.2688154
Sai Kung,Hang Hau Station,22.3155613,114.2646217
Sai Kung,Po Lam Station,22.32244475,114.25790291854642
Sha Tin,Sha Tin Wai Station,22.376982050000002,114.19502699652331
Sha Tin,Fo Tan Station,22.3951495,114.197984
Sha Tin,Hin Keng Station,22.3638477,114.17085764200104
